mol,mol_atom_id,x,y,z
1,1,110.191,66.472,111.797
1,2,109.821,65.9378,110.519
1,3,110.015,64.5231,110.324
1,4,110.305,63.7476,111.458
1,5,110.604,64.2933,112.771
1,6,110.629,65.7189,112.919
1,7,111.134,66.1599,114.067
1,8,111.606,64.9291,114.85
1,9,111.099,63.7292,113.84
1,10,110.199,67.8593,111.656
1,11,109.743,68.167,110.381
1,12,109.421,67.0144,109.665
1,13,110.282,62.4323,111.113
1,14,110.158,62.3779,109.729
1,15,109.903,63.5909,109.266
1,16,109.637,69.5856,110.178
1,17,110.031,70.3031,111.312
1,18,110.583,69.2496,112.619
1,19,110.284,61.0479,109.24
1,20,110.497,60.1595,110.242
1,21,110.469,60.8046,111.825
1,22,109.913,71.6869,111.174
1,23,109.392,72.0545,109.904
1,24,108.845,70.5838,109.066
1,25,110.767,58.8338,109.821
1,26,110.729,58.7427,108.444
1,27,110.368,60.325,107.752
1,28,109.185,73.4277,109.479
1,29,108.679,74.1524,108.441
1,30,111.036,57.5641,107.619
1,31,111.328,57.1925,106.321
1,32,108.914,67.1748,108.335
1,33,109.707,63.7378,107.841
1,34,110.939,57.7139,110.834
1,35,110.018,72.4981,112.43
1,36,108.479,75.5861,108.304
1,37,108.06,75.9357,106.925
1,38,107.816,74.7358,106.312
1,39,108.121,73.5387,107.194
1,40,111.582,55.8292,105.811
1,41,111.792,56.0212,104.303
1,42,111.688,57.3917,103.963
1,43,111.499,58.1481,105.198
1,44,107.41,74.6498,104.956
1,45,107.084,75.8679,104.296
1,46,107.269,77.0816,104.93
1,47,107.774,77.1752,106.253
1,48,111.926,57.8296,102.663
1,49,112.365,56.9479,101.706
1,50,112.346,55.5356,101.961
1,51,112.137,55.0894,103.252
1,52,108.056,72.4249,106.752
1,53,111.462,59.3579,105.158
1,54,106.86,78.1934,104.333
1,55,106.632,75.8152,103.052
1,56,112.672,57.406,100.481
1,57,112.561,54.6918,100.989
1,58,108.833,76.5234,109.226
1,59,108.833,77.9512,109.072
1,60,108.837,79.1302,109.009
1,61,109.171,76.33,110.6
1,62,109.412,76.1602,111.736
1,63,111.716,54.6127,106.537
1,64,111.683,54.4206,107.973
1,65,111.686,54.2341,109.133
1,66,112.191,53.4909,105.829
1,67,112.544,52.5404,105.274
1,68,109.598,73.994,110.306
1,69,110.878,56.7413,108.305
1,70,109.642,66.6189,107.743
1,71,108.932,68.211,107.997
1,72,108.988,64.5318,107.637
1,73,109.326,62.8207,107.392
1,74,111.329,58.167,111.745
1,75,111.667,56.9801,110.489
1,76,109.877,71.8053,113.26
1,77,109.158,73.1682,112.406
1,78,107.212,73.6699,104.538
1,79,107.691,78.1172,106.777
1,80,111.999,58.8785,102.399
1,81,112.24,54.0195,103.366
1,82,107.455,66.7194,108.185
1,83,107.569,65.6594,108.413
1,84,106.982,66.8319,106.7
1,85,106.454,67.7824,106.623
1,86,107.91,66.9197,106.135
1,87,106.202,65.6138,106.116
1,88,106.806,64.7078,106.164
1,89,105.305,65.4485,106.713
1,90,105.852,65.7034,104.705
1,91,106.714,65.8793,104.061
1,92,105.467,64.7087,104.482
1,93,104.731,66.7231,104.495
1,94,105.033,67.7189,104.82
1,95,104.219,66.7729,103.535
1,96,103.987,66.4797,105.253
1,97,111.147,63.9059,107.165
1,98,111.557,62.8998,107.252
1,99,112.194,64.8381,107.909
1,100,111.912,65.8784,108.071
1,101,112.512,64.4259,108.866
1,102,113.524,64.914,107.157
1,103,113.761,63.9525,106.702
1,104,113.402,65.6416,106.355
1,105,114.724,65.5775,107.779
1,106,114.559,66.6532,107.72
1,107,114.682,65.2909,108.83
1,108,116.062,65.2329,107.162
1,109,116.867,65.7859,107.646
1,110,116.329,64.1915,107.341
1,111,116.041,65.4449,106.093
1,112,106.601,67.4252,109.197
1,113,106.927,67.1897,110.21
1,114,106.836,68.4721,109.006
1,115,105.121,67.0803,109.132
1,116,104.412,67.5287,109.829
1,117,104.734,67.5031,108.205
1,118,104.965,66.0045,109.213
1,119,110.957,64.268,105.65
1,120,110.301,65.1325,105.551
1,121,111.912,64.5199,105.189
1,122,110.497,63.0549,104.812
1,123,109.712,62.4805,105.304
1,124,110.16,63.4704,103.862
1,125,111.334,62.3658,104.705
1,126,109.611,57.0187,111.259
1,127,108.922,57.8003,110.939
1,128,109.504,56.1786,110.573
1,129,109.5,56.6334,112.741
1,130,109.6,57.5393,113.338
1,131,108.481,56.2654,112.862
1,132,110.466,55.5562,113.307
1,133,110.223,54.5273,113.041
1,134,111.456,55.779,112.908
1,135,110.511,55.6808,114.835
1,136,110.942,56.6682,114.999
1,137,109.551,55.6461,115.35
1,138,111.393,54.5816,115.421
1,139,111.283,53.6312,114.899
1,140,110.951,54.4706,116.411
1,141,112.796,54.9027,115.5
1,142,113.157,55.0304,114.479
1,143,113.043,55.8067,116.056
1,144,113.558,53.8014,116.343
1,145,113.129,53.7891,117.345
1,146,114.607,54.0833,116.433
1,147,113.568,52.3729,115.794
1,148,112.548,51.9925,115.836
1,149,113.902,52.3175,114.758
1,150,114.542,51.453,116.488
1,151,114.655,51.5754,117.565
1,152,115.528,51.557,116.035
1,153,114.025,50.0278,116.297
1,154,113.22,49.8751,117.016
1,155,113.622,49.9859,115.285
1,156,114.758,49.2492,116.509
1,157,111.306,73.3197,112.626
1,158,112.166,72.6507,112.592
1,159,111.397,74.0213,111.797
1,160,111.121,74.2181,113.875
1,161,110.214,74.8195,113.806
1,162,111.054,73.617,114.781
1,163,112.331,75.1817,114.035
1,164,113.242,74.585,113.99
1,165,112.393,75.9435,113.258
1,166,112.189,76.0762,115.296
1,167,113.152,76.52,115.547
1,168,111.909,75.406,116.109
1,169,111.036,77.0651,115.336
1,170,110.797,77.3512,114.312
1,171,110.153,76.59,115.764
1,172,111.447,78.3403,116.028
1,173,111.509,78.06,117.079
1,174,112.442,78.6466,115.705
1,175,110.374,79.4384,115.986
1,176,110.151,79.5166,114.922
1,177,109.513,78.9799,116.473
1,178,110.876,80.681,116.66
1,179,110.928,80.7682,117.746
1,180,111.875,80.8623,116.263
1,181,110.017,81.8511,116.094
1,182,109.916,81.6828,115.021
1,183,109.015,81.9151,116.517
1,184,110.742,83.2157,116.279
1,185,110.082,84.027,115.972
1,186,111.135,83.4248,117.274
1,187,111.651,83.3709,115.697
2,1,92.37,119.849,92.4715
2,2,92.5136,120.681,91.3128
2,3,92.9483,122.074,91.505
2,4,93.4024,122.52,92.7681
2,5,93.2831,121.63,93.898
2,6,92.763,120.35,93.7654
2,7,92.8762,119.612,94.8492
2,8,93.5733,120.555,95.9772
2,9,93.6585,121.932,95.116
2,10,92.0395,118.541,91.9809
2,11,91.9371,118.622,90.5852
2,12,92.0605,119.941,90.1584
2,13,93.988,123.77087089942364,92.6206
2,14,93.7807,124.17877089942364,91.3368
2,15,93.0041,123.19367089942364,90.6617
2,16,91.8502,117.388,89.9753
2,17,91.8771,116.349,90.9346
2,18,91.935,117.014,92.5791
2,19,94.2905,125.48277089942364,91.0588
2,20,94.8616,126.06027089942364,92.174
2,21,94.7381,125.02927089942364,93.6023
2,22,91.84,115.056,90.4078
2,23,91.8232,115.012,88.9825
2,24,91.7178,116.698,88.4172
2,25,95.3117,127.37507089942363,91.9363
2,26,95.1529,127.75437089942363,90.5824
2,27,94.4776,126.33717089942364,89.66
2,28,91.7142,113.83,88.1543
2,29,91.5254,113.388,86.8419
2,30,95.4775,129.09167089942363,90.2325
2,31,95.6369,129.82217089942364,89.0267
2,32,92.4549,120.173,88.7798
2,33,92.292,123.47877089942364,89.456
2,34,95.8242,128.16307089942364,93.1235
2,35,91.8387,113.853,91.2625
2,36,91.3136,112.012,86.3218
2,37,91.3242,112.17,84.8401
2,38,91.3513,113.549,84.4723
2,39,91.5455,114.362,85.7192
2,40,96.0376,131.22887089942364,88.9049
2,41,96.0759,131.49727089942365,87.3926
2,42,95.8003,130.33247089942364,86.6796
2,43,95.5013,129.24477089942366,87.6418
2,44,91.3019,114.029,83.1414
2,45,91.267,113.035,82.087
2,46,91.2933,111.677,82.4332
2,47,91.3021,111.267,83.7638
2,48,95.8296,130.25027089942364,85.2802
2,49,96.1105,131.40007089942364,84.5256
2,50,96.3485,132.56157089942366,85.2408
2,51,96.3582,132.64267089942365,86.6269
2,52,91.6914,115.578,85.6276
2,53,95.0888,128.16367089942364,87.279
2,54,91.3158,110.741,81.4513
2,55,91.2308,113.434,80.8136
2,56,96.0736,131.44407089942365,83.1917
2,57,96.7314,133.57587089942365,84.4912
2,58,91.0952,110.774,86.9787
2,59,91.0548,109.488,86.354
2,60,90.994,108.516,85.7592
2,61,90.6818,110.721,88.3496
2,62,90.4048,110.732,89.4421
2,63,96.2372,132.16107089942363,89.8701
2,64,96.2236,132.09297089942365,91.3292
2,65,96.1811,132.09507089942363,92.4494
2,66,96.7739,133.45027089942363,89.4662
2,67,97.1201,134.52747089942363,89.1525
2,68,91.889,113.025,88.8584
2,69,95.6142,129.67407089942364,91.1356
2,70,91.7607,120.847,88.2781
2,71,92.412,119.211,88.2698
2,72,91.5439,122.72827089942365,89.2008
2,73,92.9076,123.64947089942365,88.5728
2,74,96.5467,128.93697089942364,92.8646
2,75,96.3175,127.45647089942364,93.791
2,76,91.3027,113.028,90.7928
2,77,91.3289,114.093,92.1955
2,78,91.47,115.087,82.9707
2,79,91.2181,110.206,83.9499
