mol,mol_atom_id,x,y,z
1,1,113.44,92.2046,86.5961
1,2,113.132,93.108,85.5321
1,3,114.194,93.3626,84.5047
1,4,115.325,92.445,84.5729
1,5,115.602,91.5542,85.6574
1,6,114.649,91.5041,86.697
1,7,115.018,90.7455,87.7448
1,8,116.315,89.9061,87.1939
1,9,116.619,90.7482,85.8477
1,10,112.368,92.2721,87.53
1,11,111.44,93.16,87.0367
1,12,111.814,93.5464,85.8124
1,13,116.121,92.6671,83.4595
1,14,115.509,93.6728,82.6911
1,15,114.328,94.0958,83.367
1,16,110.311,93.2423,87.8813
1,17,110.578,92.6544,89.1612
1,18,112.052,91.7319,89.1825
1,19,116.235,94.0355,81.5344
1,20,117.406,93.2851,81.4522
1,21,117.569,92.0739,82.7767
1,22,109.591,92.8239,90.1084
1,23,108.434,93.5973,89.6403
1,24,108.747,94.0246,87.9332
1,25,118.14,93.4284,80.275
1,26,117.504,94.4337,79.4716
1,27,116.008,95.0688,80.193
1,28,107.15,93.617,90.2954
1,29,105.854,93.9823,89.9118
1,30,117.971,94.9684,78.2201
1,31,117.744,95.9173,77.249
1,32,110.909,94.4169,85.0137
1,33,113.743,95.3947,82.8999
1,34,119.54,92.8839,80.0278
1,35,109.57,92.3007,91.5415
1,36,104.646,94.0734,90.8153
1,37,103.437,94.4499,89.9417
1,38,103.891,94.4492,88.6238
1,39,105.352,94.1055,88.5832
1,40,118.64,96.1622,76.016
1,41,118.079,97.4288,75.4597
1,42,116.989,97.8821,76.2241
1,43,116.677,96.8657,77.3086
1,44,103.1,94.7895,87.5771
1,45,101.779,95.117,87.7938
1,46,101.164,95.0708,89.078
1,47,102.032,94.7185,90.1673
1,48,116.255,98.9907,75.9159
1,49,116.589,99.7473,74.8237
1,50,117.808,99.4698,74.1246
1,51,118.542,98.3023,74.4522
1,52,105.88,93.9885,87.4863
1,53,115.689,96.9755,78.0024
1,54,99.9092,95.4144,89.2412
1,55,100.976,95.4793,86.7378
1,56,115.937,100.812,74.6146
1,57,118.066,100.1,73.0131
1,58,104.501,93.9173,92.2009
1,59,103.274,94.0918,92.9307
1,60,102.319,94.3294,93.5678
1,61,105.579,93.5953,93.08
1,62,106.384,93.3078,93.8654
1,63,119.771,95.529,75.6351
1,64,120.315,94.2891,76.1968
1,65,120.798,93.3171,76.5842
1,66,120.573,96.0079,74.537
1,67,121.283,96.3403,73.6787
1,68,107.264,93.7106,91.3655
1,69,118.914,94.4859,78.0091
1,70,111.609,95.2459,84.9075
1,71,110.203,94.6763,85.8021
1,72,112.726,95.361,83.2921
1,73,113.679,95.4325,81.8124
1,74,119.626,92.668,78.9629
1,75,119.527,91.933,80.5606
1,76,108.715,91.6281,91.4756
1,77,109.304,93.1114,92.2201
1,78,103.642,94.9714,86.6562
1,79,101.679,94.7093,91.1887
1,80,115.415,99.258,76.5454
1,81,119.379,98.1019,73.798
1,82,109.745,94.9791,83.8906
1,83,109.932,95.9479,84.3534
1,84,109.896,95.8258,82.519
1,85,110.927,96.1387,82.3532
1,86,109.288,96.7242,82.625
1,87,109.35,95.0983,81.262
1,88,108.324,94.7364,81.3331
1,89,109.996,94.2376,81.0874
1,90,109.439,95.9949,79.9771
1,91,110.491,96.2766,79.9306
1,92,108.861,96.8978,80.1728
1,93,109.06,95.3623,78.6901
1,94,108.016,95.0541,78.6389
1,95,109.62,94.4296,78.621
1,96,109.272,96.0971,77.9133
1,97,113.892,98.034,83.0376
1,98,112.81,97.9206,83.1065
1,99,114.118,99.2391,83.948
1,100,113.425,99.9528,83.5021
1,101,115.115,99.6772,83.9141
1,102,113.753,98.8441,85.4348
1,103,114.527,98.1949,85.8442
1,104,112.834,98.2628,85.364
1,105,113.534,99.9636,86.4345
1,106,114.423,100.594,86.4611
1,107,113.349,99.6053,87.4472
1,108,112.293,100.722,85.9585
1,109,112.528,101.541,85.2787
1,110,111.855,101.149,86.8607
1,111,111.537,100.029,85.589
1,112,108.207,94.8277,84.3095
1,113,108.137,94.437,85.3247
1,114,107.687,94.1339,83.649
1,115,107.304,96.1236,84.2748
1,116,107.652,97.0357,84.7597
1,117,106.425,95.962,84.8989
1,118,107.009,96.2346,83.2314
1,119,114.29,98.2693,81.4929
1,120,114.208,97.3141,80.9744
1,121,115.335,98.5771,81.4601
1,122,113.176,99.1065,80.8079
1,123,112.227,98.8769,81.2922
1,124,113.138,98.9031,79.7377
1,125,113.24,100.18,80.9844
1,126,120.624,93.8574,80.3917
1,127,120.4,94.1678,81.4124
1,128,120.596,94.7451,79.7599
1,129,121.992,93.1809,80.4323
1,130,122.258,92.9218,79.4074
1,131,121.748,92.2572,80.9567
1,132,123.09136205073585,94.1888,80.9176
1,133,122.72586205073584,94.843,81.7091
1,134,123.25496205073584,94.7994,80.0296
1,135,124.38356205073585,93.5648,81.3902
1,136,124.26076205073585,93.1101,82.3732
1,137,125.19606205073585,94.2884,81.4569
1,138,124.80986205073584,92.3898,80.4939
1,139,124.96096205073584,92.8065,79.498
1,140,124.02696205073585,91.6347,80.4239
1,141,126.12216205073585,91.6253,80.8563
1,142,126.14096205073585,91.2021,81.8606
1,143,126.95136205073584,92.3282,80.7753
1,144,126.30676205073584,90.3711,79.906
1,145,126.04486205073584,90.6,78.873
1,146,125.72606205073583,89.501,80.212
1,147,127.76056205073584,89.8118,79.8617
1,148,127.79496205073585,88.8228,79.4048
1,149,127.93446205073585,89.6911,80.931
1,150,128.79566205073584,90.5906,79.1527
1,151,128.73446205073583,91.5982,79.5638
1,152,128.45686205073585,90.632,78.1175
1,153,130.18386205073585,89.9744,79.283
1,154,130.91906205073585,90.5548,78.7255
1,155,130.15626205073585,88.9668,78.8681
1,156,130.61246205073584,89.9099,80.2831
1,157,110.773,91.545,92.1241
1,158,111.744,92.0394,92.1566
1,159,110.859,90.6852,91.4598
1,160,110.43,91.0635,93.4935
1,161,109.64,90.3229,93.3669
1,162,110.061,91.8319,94.1725
1,163,111.64,90.4713,94.1784
1,164,112.499,91.1427,94.1946
1,165,111.988,89.4937,93.8444
1,166,111.314,90.2114,95.6261
1,167,110.517,89.4726,95.7171
1,168,110.997,91.1092,96.1571
1,169,112.486,89.6005,96.4562
1,170,113.425,90.1312,96.297
1,171,112.629,88.5681,96.137
1,172,112.132,89.4416,97.9807
1,173,111.431,88.6146,98.0952
1,174,111.613,90.3591,98.2578
1,175,113.44,89.1122,98.8143
1,176,113.218,89.1704,99.88
1,177,114.146,89.9077,98.5768
1,178,114.036,87.6855,98.6147
1,179,114.43,87.4905,97.6172
1,180,113.167,87.0432,98.7614
1,181,115.091,87.4345,99.5972
1,182,114.657,87.4922,100.595
1,183,115.751,88.2924,99.4712
1,184,115.985,86.1808,99.4242
1,185,115.352,85.3408,99.1372
1,186,116.623,85.9796,100.285
