mol,mol_atom_id,x,y,z
1,1,55.1138,107.63,131.65017762189825
1,2,54.5742,108.484,130.60587762189826
1,3,54.0909,107.755,129.42687762189826
1,4,54.2071,106.279,129.35997762189825
1,5,54.6783,105.535,130.47847762189826
1,6,55.1469,106.218,131.61887762189826
1,7,55.5013,105.457,132.64237762189828
1,8,55.3294,103.894,132.08567762189827
1,9,54.6428,104.275,130.64127762189827
1,10,55.663,108.45,132.64757762189828
1,11,55.3041,109.739,132.31857762189827
1,12,54.6016,109.834,131.12207762189826
1,13,53.6665,105.836,128.14877762189826
1,14,53.3731,106.944,127.42107762189826
1,15,53.5903,108.159,128.15457762189826
1,16,55.8278,110.709,133.25737762189826
1,17,56.5899,110.123,134.31297762189826
1,18,56.5609,108.369,134.15747762189827
1,19,52.867,106.607,126.10387762189826
1,20,52.7117,105.195,125.89587762189826
1,21,53.2989,104.285,127.35157762189826
1,22,57.1886,110.948,135.26727762189824
1,23,56.8156,112.247,134.99487762189827
1,24,55.8009,112.356,133.50947762189827
1,25,52.01,104.79,124.72147762189826
1,26,51.7862,105.979,123.97427762189827
1,27,52.28,107.517,124.72237762189826
1,28,57.1884,113.354,135.81927762189827
1,29,56.7091,114.651,136.05057762189827
1,30,50.9596,105.998,122.792
1,31,50.7696,106.829,121.667
1,32,53.8876,111.126,130.72957762189827
1,33,53.5324,109.431,127.37877762189825
1,34,51.6988,103.405,124.18327762189827
1,35,57.852,110.446,136.54017762189827
1,36,57.483,115.808,136.61467762189827
1,37,56.6032,116.974,136.55467762189826
1,38,55.3287,116.548,136.25707762189825
1,39,55.3549,115.14,135.76427762189826
1,40,49.7544,106.642,120.576
1,41,50.0005,107.675,119.532
1,42,51.0847,108.463,120.001
1,43,51.5734,108.017,121.288
1,44,54.1655,117.336,136.21137762189827
1,45,54.3494,118.666,136.45017762189826
1,46,55.6122,119.164,136.88127762189828
1,47,56.727,118.33,136.90767762189824
1,48,51.6395,109.425,119.184
1,49,51.1705,109.658,117.934
1,50,50.0623,108.986,117.483
1,51,49.4837,107.929,118.21
1,52,54.4012,114.507,135.27057762189827
1,53,52.4559,108.648,121.897
1,54,55.8104,120.496,137.08957762189826
1,55,53.3424,119.502,136.20097762189826
1,56,51.7915,110.504,117.119
1,57,49.7436,109.152,116.229
1,58,58.7852,115.886,137.00987762189826
1,59,59.4283,117.038,137.50007762189827
1,60,59.9674,117.977,137.94447762189827
1,61,59.7213,114.751,137.12757762189827
1,62,60.5067,113.894,137.18627762189826
1,63,48.7905,105.693,120.325
1,64,48.6077,104.62,121.277
1,65,48.4006,103.839,122.09
1,66,47.9579,105.52,119.094
